H_over_B,B_over_H,H,B,q,R_int,gamma,Su,sf_lower,sf_upper,fs_optum_avg,fs_terzaghi_resistance,fs_terzaghi_net_pressure,Nc,fs_bjerrum
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,18.0,10.0,0.507,0.567,0.5369999999999999,0.5549600116460895,0.5204779842861391,5.7052,0.48349152542372875
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,18.0,20.0,1.021,1.134,1.0775,1.109920023292179,1.1283839948171306,5.7052,0.9669830508474575
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,18.0,40.0,2.027,2.268,2.1475,2.219840046584358,2.7123846393129956,5.7052,1.933966101694915
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,20.0,5.0,0.231,0.258,0.2445,0.2518664668239945,0.22662689607765074,5.7052,0.2194307692307692
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,20.0,10.0,0.459,0.515,0.487,0.503732933647989,0.4690789777948418,5.7052,0.4388615384615384
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,20.0,20.0,0.915,1.031,0.973,1.007465867295978,1.0085868139493375,5.7052,0.8777230769230768
0.6,1.6666666666666667,6.0,10.0,10.0,1.0,20.0,40.0,1.842,2.062,1.952,2.014931734591956,2.3735443620336283,5.7052,1.7554461538461537
0.5,2.0,6.0,12.0,0.0,1.0,16.0,5.0,0.306,0.339,0.3225,0.33370347818679935,0.30822651342631424,5.62,0.29270833333333335
0.5,2.0,6.0,12.0,0.0,1.0,16.0,10.0,0.607,0.677,0.642,0.6674069563735987,0.6409612552123426,5.62,0.5854166666666667
0.5,2.0,6.0,12.0,0.0,1.0,16.0,20.0,1.232,1.355,1.2934999999999999,1.3348139127471974,1.3926578816665183,5.62,1.1708333333333334
0.5,2.0,6.0,12.0,0.0,1.0,16.0,40.0,2.423,2.71,2.5665,2.669627825494395,3.3670168541375136,5.62,2.341666666666667
0.5,2.0,6.0,12.0,0.0,1.0,18.0,5.0,0.272,0.301,0.2865,0.29662531394382163,0.2728200417387532,5.62,0.2601851851851852
0.5,2.0,6.0,12.0,0.0,1.0,18.0,10.0,0.538,0.603,0.5705,0.5932506278876433,0.5647538199824635,5.62,0.5203703703703704
0.5,2.0,6.0,12.0,0.0,1.0,18.0,20.0,1.082,1.206,1.1440000000000001,1.1865012557752865,1.2146025349882525,5.62,1.0407407407407407
0.5,2.0,6.0,12.0,0.0,1.0,18.0,40.0,2.16,2.411,2.2855,2.373002511550573,2.8601632772847307,5.62,2.0814814814814815
0.5,2.0,6.0,12.0,0.0,1.0,20.0,5.0,0.247,0.272,0.2595,0.2669627825494395,0.2447098325851665,5.62,0.2341666666666667
0.5,2.0,6.0,12.0,0.0,1.0,20.0,10.0,0.482,0.543,0.5125,0.533925565098879,0.5047422205767479,5.62,0.4683333333333334
0.5,2.0,6.0,12.0,0.0,1.0,20.0,20.0,0.985,1.084,1.0345,1.067851130197758,1.0769157366975584,5.62,0.9366666666666668
0.5,2.0,6.0,12.0,0.0,1.0,20.0,40.0,1.931,2.17,2.0505,2.135702260395516,2.485942194442744,5.62,1.8733333333333335
0.5,2.0,6.0,12.0,10.0,1.0,16.0,5.0,0.277,0.307,0.29200000000000004,0.3022220179804975,0.27814520571293117,5.62,0.2650943396226415
0.5,2.0,6.0,12.0,10.0,1.0,16.0,10.0,0.553,0.615,0.5840000000000001,0.604444035960995,0.5761711840940759,5.62,0.530188679245283
0.5,2.0,6.0,12.0,10.0,1.0,16.0,20.0,1.107,1.23,1.1684999999999999,1.20888807192199,1.2410477945909142,5.62,1.060377358490566
0.5,2.0,6.0,12.0,10.0,1.0,16.0,40.0,2.213,2.46,2.3365,2.41777614384398,2.9337690537007775,5.62,2.120754716981132
0.5,2.0,6.0,12.0,10.0,1.0,18.0,5.0,0.251,0.276,0.2635,0.27148757547400626,0.24898556707178113,5.62,0.238135593220339
0.5,2.0,6.0,12.0,10.0,1.0,18.0,10.0,0.502,0.552,0.527,0.5429751509480125,0.5138425014614626,5.62,0.476271186440678
0.5,2.0,6.0,12.0,10.0,1.0,18.0,20.0,1.005,1.103,1.0539999999999998,1.085950301896025,1.0976539974573978,5.62,0.952542372881356
0.5,2.0,6.0,12.0,10.0,1.0,18.0,40.0,2.009,2.206,2.1075,2.17190060379205,2.541360396557552,5.62,1.905084745762712
0.5,2.0,6.0,12.0,10.0,1.0,20.0,5.0,0.227,0.25,0.2385,0.2464271838917903,0.22535974634013814,5.62,0.21615384615384617
0.5,2.0,6.0,12.0,10.0,1.0,20.0,10.0,0.453,0.503,0.478,0.4928543677835806,0.4636825439333135,5.62,0.43230769230769234
0.5,2.0,6.0,12.0,10.0,1.0,20.0,20.0,0.906,1.005,0.9555,0.9857087355671612,0.9839642791081035,5.62,0.8646153846153847
0.5,2.0,6.0,12.0,10.0,1.0,20.0,40.0,1.813,2.01,1.9114999999999998,1.9714174711343224,2.2415412325727524,5.62,1.7292307692307693
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,16.0,5.0,0.301,0.332,0.3165,0.3284422670172566,0.3065520091267816,5.556938775510204,0.28942389455782314
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,16.0,10.0,0.603,0.663,0.633,0.6568845340345132,0.6337622866567195,5.556938775510204,0.5788477891156463
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,16.0,20.0,1.206,1.326,1.266,1.3137690680690264,1.3591140665875094,5.556938775510204,1.1576955782312925
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,16.0,40.0,2.411,2.653,2.532,2.6275381361380528,3.177419631456477,5.556938775510204,2.315391156462585
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,18.0,5.0,0.269,0.295,0.28200000000000003,0.29194868179311695,0.27150732829276414,5.556938775510204,0.2572656840513983
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,18.0,10.0,0.538,0.59,0.5640000000000001,0.5838973635862339,0.559157463003226,5.556938775510204,0.5145313681027966
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,18.0,20.0,1.076,1.18,1.1280000000000001,1.1677947271724678,1.1890089332710012,5.556938775510204,1.0290627362055933
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,18.0,40.0,2.152,2.36,2.2560000000000002,2.3355894543449356,2.7221820212141723,5.556938775510204,2.0581254724111866
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,20.0,5.0,0.242,0.266,0.254,0.2627538136138053,0.24365317178671417,5.556938775510204,0.2315391156462585
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,20.0,10.0,0.483,0.531,0.507,0.5255076272276106,0.5002673150633787,5.556938775510204,0.463078231292517
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,20.0,20.0,0.954,1.063,1.0085,1.0510152544552211,1.0567476308224852,5.556938775510204,0.926156462585034
0.42857142857142855,2.3333333333333335,6.0,14.0,0.0,1.0,20.0,40.0,1.935,2.125,2.0300000000000002,2.1020305089104423,2.3810434123311097,5.556938775510204,1.852312925170068
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,16.0,5.0,0.277,0.301,0.28900000000000003,0.2974571474873267,0.2767808746648904,5.556938775510204,0.26211975356180206
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,16.0,10.0,0.553,0.601,0.577,0.5949142949746534,0.570347428660783,5.556938775510204,0.5242395071236041
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,16.0,20.0,1.106,1.202,1.154,1.1898285899493068,1.2143398262792966,5.556938775510204,1.0484790142472082
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,16.0,40.0,2.213,2.405,2.309,2.3796571798986137,2.7887745828874646,5.556938775510204,2.0969580284944165
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,18.0,5.0,0.244,0.27,0.257,0.26720726808183587,0.24789174083329396,5.556938775510204,0.23546350743687305
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,18.0,10.0,0.487,0.54,0.5135000000000001,0.5344145361636717,0.5092055213433038,5.556938775510204,0.4709270148737461
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,18.0,20.0,0.974,1.079,1.0265,1.0688290723273435,1.0767092080986789,5.556938775510204,0.9418540297474922
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,18.0,40.0,1.949,2.159,2.054,2.137658144654687,2.4318355708024395,5.556938775510204,1.8837080594949844
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,20.0,5.0,0.223,0.245,0.23399999999999999,0.2425419817973587,0.2244632804753235,5.556938775510204,0.21372841444270016
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,20.0,10.0,0.439,0.49,0.4645,0.4850839635947174,0.45990334786591547,5.556938775510204,0.4274568288854003
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,20.0,20.0,0.88,0.98,0.9299999999999999,0.9701679271894348,0.9671001892635203,5.556938775510204,0.8549136577708006
0.42857142857142855,2.3333333333333335,6.0,14.0,10.0,1.0,20.0,40.0,1.779,1.96,1.8695,1.9403358543788696,2.155899138578375,5.556938775510204,1.7098273155416013
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,16.0,5.0,0.293,0.326,0.3095,0.3244963586400995,0.30530802238191024,5.508437499999999,0.2868977864583333
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,16.0,10.0,0.587,0.653,0.62,0.648992717280199,0.6284682964186222,5.508437499999999,0.5737955729166666
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,16.0,20.0,1.174,1.306,1.24,1.297985434560398,1.334997813569396,5.508437499999999,1.1475911458333332
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,16.0,40.0,2.347,2.612,2.4795,2.595970869120796,3.0486664822400167,5.508437499999999,2.2951822916666664
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,18.0,5.0,0.264,0.29,0.277,0.28844120768008846,0.2705310535587832,5.508437499999999,0.25502025462962963
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,18.0,10.0,0.528,0.58,0.554,0.5768824153601769,0.5550324448275054,5.508437499999999,0.5100405092592593
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,18.0,20.0,1.056,1.161,1.1085,1.1537648307203539,1.170510548052547,5.508437499999999,1.0200810185185185
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,18.0,40.0,2.113,2.321,2.217,2.3075296614407077,2.62712773170287,5.508437499999999,2.040162037037037
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,20.0,5.0,0.243,0.261,0.252,0.2595970869120796,0.24286664537080385,5.508437499999999,0.22951822916666664
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,20.0,10.0,0.485,0.522,0.5035000000000001,0.5191941738241592,0.49696286315858224,5.508437499999999,0.4590364583333333
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,20.0,20.0,0.97,1.045,1.0074999999999998,1.0383883476483184,1.0421104179057916,5.508437499999999,0.9180729166666666
0.375,2.6666666666666665,6.0,16.0,0.0,1.0,20.0,40.0,1.942,2.089,2.0155,2.076776695296637,2.3080007443237265,5.508437499999999,1.8361458333333331
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,16.0,5.0,0.269,0.296,0.2825,0.2938834946174486,0.27576637767731893,5.508437499999999,0.2598319575471698
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,16.0,10.0,0.537,0.591,0.5640000000000001,0.5877669892348972,0.5660562906846525,5.508437499999999,0.5196639150943396
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,16.0,20.0,1.074,1.182,1.1280000000000001,1.1755339784697945,1.1950512514792104,5.508437499999999,1.0393278301886792
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,16.0,40.0,2.148,2.365,2.2565,2.351067956939589,2.6890979402295554,5.508437499999999,2.0786556603773585
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,18.0,5.0,0.247,0.266,0.2565,0.2639970375377081,0.24707765742732676,5.508437499999999,0.23340836864406778
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,18.0,10.0,0.493,0.531,0.512,0.5279940750754162,0.5057823382088029,5.508437499999999,0.46681673728813555
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,18.0,20.0,0.987,1.063,1.025,1.0559881501508324,1.0615177638800273,5.508437499999999,0.9336334745762711
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,18.0,40.0,1.976,2.125,2.0505,2.1119763003016647,2.355693215326999,5.508437499999999,1.8672669491525422
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,20.0,5.0,0.224,0.241,0.23249999999999998,0.23962808022653503,0.22379559763521803,5.508437499999999,0.21186298076923074
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,20.0,10.0,0.449,0.482,0.4655,0.47925616045307007,0.4571091327405667,5.508437499999999,0.4237259615384615
0.375,2.6666666666666665,6.0,16.0,10.0,1.0,20.0,20.0,0.898,0.965,0.9315,0.9585123209061401,0.954826662446999,5.508437499999999,0.847451923076923
